words,embeddings
2 girls 1 cup,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
tosser,"tensor([-0.2779,  0.5131, -0.4380, -0.0381, -0.1901, -0.1697,  0.4111, -0.3092,
         0.2199,  0.4364,  0.2092,  0.1791,  0.0688, -0.1780,  0.0245,  0.5183,
        -0.3219,  0.3200,  0.4829, -0.2122,  0.1516,  0.0314, -0.4355, -0.2503,
         0.2135,  0.5092, -0.3009,  0.1846, -0.0236, -0.1376,  0.1922, -0.6472,
         0.0300, -0.0152,  0.5232, -0.5802, -0.4230,  0.0122,  0.0309, -0.2544,
         0.2981,  0.2164,  0.0749,  0.4388, -0.1324, -0.5650, -0.1010,  0.5750,
         0.0476,  0.2314, -0.4750,  0.3138,  0.0247,  0.2404,  0.4074,  1.0637,
         0.0238,  0.6340, -0.1634, -0.7279,  0.0884, -0.4754, -0.2346,  0.1708,
        -0.2896,  0.1828, -0.0497,  0.0266, -0.8271, -0.2682,  0.3241, -0.0702,
         0.1566,  0.2210, -0.1406,  0.0494,  0.2892,  0.0282,  0.4474,  0.1794,
        -0.1015, -0.1685,  0.0680, -0.4617,  0.2297, -0.4531, -0.0635, -0.0267,
        -0.0228, -0.0613,  0.1190,  0.2077,  0.0545, -0.1815,  0.5160,  0.3319,
         0.0322,  0.2478, -0.0166, -0.2739])"
tramp,"tensor([-0.1295,  0.4306,  0.2041, -0.8669,  0.1948,  0.6826, -0.6802, -0.5818,
         0.5565, -0.8777, -0.4851,  0.2009, -0.3484,  0.1886, -0.0785,  0.1663,
         0.4144, -0.2674,  0.6316, -0.0016,  0.6818,  0.6661, -0.3203, -0.4295,
         0.4318,  0.3594, -0.8144,  0.1312,  0.0041, -0.4766, -0.3520, -0.0166,
         0.1914,  0.3948,  0.1333,  0.9213, -0.2000,  0.0027,  0.6566, -0.3408,
        -0.2061,  0.1015, -0.1398,  0.6611, -0.1969,  0.8670, -0.6831, -0.6038,
         0.8007,  0.1569, -0.8931,  0.1248,  0.7210,  0.5259, -0.2651,  0.0943,
         0.2455,  0.1461, -0.2297, -0.4304, -0.2134,  0.7183, -1.1250,  0.5458,
        -0.1943,  0.1697, -0.3646, -0.3534,  0.3751,  0.1145,  0.1642, -0.8498,
        -0.0897,  0.4827, -0.0032,  0.3662,  0.8821,  0.2367,  0.0695, -0.3137,
        -0.3879,  0.6221,  0.5264,  0.9061,  0.1614,  0.1180,  0.4720, -0.5665,
         0.1473, -0.5641, -0.4414, -0.4687,  0.6287, -0.2002,  0.4261, -0.9217,
        -0.3795, -0.4147, -0.4335, -0.1998])"
transsexual,"tensor([ 8.9950e-01,  6.7561e-02,  9.6673e-02,  3.3556e-01, -3.6731e-01,
         1.0887e+00, -2.5414e-01, -3.2135e-01,  7.8342e-01,  2.3639e-01,
        -8.5964e-01, -1.5661e-01,  5.6318e-01, -5.7443e-01, -6.3412e-02,
         4.8862e-01,  2.8176e-01, -1.2325e-01,  2.5504e-01,  5.1466e-01,
         2.0457e-02, -1.1657e-01, -6.4396e-01,  7.9188e-01,  2.7456e-01,
        -1.6301e-01,  9.1921e-01, -7.0238e-01,  7.9224e-03,  7.3410e-02,
        -2.5232e-01,  6.5918e-01,  4.3023e-01,  6.4285e-02,  5.7603e-01,
        -5.7385e-01, -6.4565e-01,  4.6826e-01,  1.4097e-01,  2.0073e-01,
        -2.0734e-01,  4.1685e-01,  9.1020e-02,  9.1260e-02, -4.5551e-01,
         6.1214e-01, -4.8198e-01,  1.0114e-01, -3.7882e-01,  6.6790e-01,
        -7.3121e-01,  6.0161e-02,  3.4703e-01,  2.2759e-01, -4.0889e-01,
         4.3931e-01, -1.8372e-01,  1.8777e-01, -1.8780e-01,  2.4359e-01,
        -1.1266e-01,  1.5734e-01, -3.1466e-02, -7.0108e-04,  4.0897e-01,
         6.3743e-01,  7.3706e-01, -1.0454e-01, -3.0055e-01, -6.1041e-01,
        -5.5499e-01, -3.7097e-01, -4.9803e-01,  8.5215e-01, -1.8970e-01,
        -3.6503e-01, -5.7597e-02,  2.9985e-01,  7.9505e-02, -1.2635e+00,
        -5.4961e-01, -6.1910e-02,  1.3628e+00,  1.2759e+00, -6.2600e-01,
        -3.7833e-01,  3.7301e-01,  4.2849e-01,  6.1092e-01, -1.0351e+00,
         2.6362e-02,  5.1376e-02,  2.3878e-01, -4.1993e-01,  5.6024e-01,
         7.1855e-01, -2.9421e-01,  9.2746e-02, -3.0268e-01,  1.4896e-01])"
trashy,"tensor([-3.2315e-02, -3.9358e-01,  7.5976e-01, -5.0147e-01, -7.0511e-01,
         5.7364e-01,  1.4333e-01,  4.2279e-02,  5.0160e-01,  1.0847e+00,
         4.8736e-01,  4.4201e-02, -5.2140e-01, -1.4520e-01,  2.1282e-01,
         1.0898e-01,  1.7656e-02,  1.8311e-01,  9.8857e-01,  3.3373e-01,
         2.9978e-01,  3.3216e-01,  2.3482e-01, -2.7794e-01,  7.6848e-01,
        -2.6392e-01, -1.7024e-01, -7.1833e-01, -3.6750e-01, -5.1133e-02,
         8.0829e-02, -3.7702e-01,  2.1753e-02, -1.6886e-01,  1.3297e-01,
         6.2260e-01, -4.6074e-01, -5.3489e-01, -1.6299e-05, -3.2198e-01,
         1.3771e-01,  5.4314e-01, -6.1427e-01, -2.3439e-01, -1.2228e-01,
         2.0057e-01,  2.3082e-01,  5.8909e-02,  1.5637e-01,  4.7756e-01,
         1.6220e-01,  1.4240e-01,  5.4136e-01, -3.2134e-01, -7.9539e-02,
         2.1831e-01,  4.2073e-01,  5.5059e-01, -2.4605e-01, -5.6254e-01,
        -1.6671e-01,  3.8728e-01, -5.9589e-01, -4.2935e-01,  1.9079e-01,
         3.4621e-01,  7.9642e-01,  5.9413e-02,  2.0721e-01, -7.1209e-01,
         4.7027e-01, -3.2283e-01,  2.3427e-01,  4.6312e-01, -4.7949e-01,
        -1.4672e-02,  1.0336e-01,  2.6470e-01,  1.0284e-01, -3.8603e-01,
        -7.7613e-01,  1.8187e-01,  4.9906e-01,  6.5209e-01, -3.4704e-01,
        -4.4209e-01, -1.8705e-01,  1.2766e-01, -2.3193e-01, -2.7244e-01,
         4.0869e-01,  7.0345e-01,  2.2544e-01, -4.9453e-01, -1.5044e-01,
        -5.2206e-01, -6.0611e-01, -3.5118e-01,  2.6481e-01,  1.2116e+00])"
tubgirl,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
turd,"tensor([ 0.1109, -0.0253, -0.1372,  0.1672, -0.2256, -0.1467,  0.2174, -0.2724,
         0.4187, -0.4501, -0.8408,  0.7125,  0.2781, -0.0654, -0.4933,  0.5132,
         0.6032,  0.0603,  0.5059, -0.0234,  0.1456,  0.1334, -0.3171, -0.2730,
        -0.1260,  1.1593, -0.3057,  0.5321,  0.4008,  0.0853,  0.3490, -0.3947,
         0.6326, -0.3378,  0.0138,  0.1946, -0.4766, -0.3410,  0.6213, -0.1651,
         0.2248,  0.8441, -0.2844, -0.3601, -0.0836, -0.1705,  0.0904,  0.5786,
        -0.0578, -0.0015, -0.4681, -0.2410, -0.2414,  0.0821,  0.1560,  0.7118,
         0.2064,  0.4768, -0.3302, -0.1159, -0.0384,  0.0244, -0.5045,  0.0979,
         0.0189,  0.2200,  0.2562, -0.4379,  0.1125,  0.1379,  0.3367,  0.1577,
         0.1371, -0.3834, -0.4434,  0.1867, -0.2166,  0.3995,  0.8814,  0.3022,
        -0.3683, -0.3802,  0.0270,  0.4782,  0.3770, -0.0782,  0.3519, -0.0051,
         0.5658, -0.1184, -0.1381,  0.1631, -0.4078,  0.0845,  0.8273, -0.4134,
         0.0720,  0.3890, -0.0809, -0.0252])"
tush,"tensor([-0.1787, -0.4246,  0.3070, -0.2344, -0.3617,  0.3232,  0.3095, -0.1009,
         0.6433,  0.2300, -0.5998,  0.2620,  0.0939, -0.2358, -0.3135,  0.6390,
        -0.0659,  0.0391,  0.0029, -0.3245, -0.5518,  0.0699, -0.6288,  0.1915,
         0.3756,  0.3478, -0.3160, -0.5610, -0.4046, -0.0578,  0.8739, -0.1808,
         0.9900,  0.1054,  0.1526, -0.0793, -0.3207, -0.1540, -0.0094, -0.0606,
        -0.0504,  0.1189, -0.0704,  0.7117, -1.0607, -0.2945, -0.6269,  0.3610,
         0.0374, -0.3258, -1.0221, -0.4331, -0.0335, -0.1097,  0.2026,  0.3849,
         0.2944,  0.3821, -0.5075, -0.4662,  0.1242, -0.0873, -0.4736, -0.0299,
         0.2541,  0.5026, -0.2836, -0.0468,  0.3349, -0.8191,  0.5102, -0.3287,
         0.0208,  0.3422, -0.2697,  0.3989, -0.1530,  0.6511,  0.2573,  0.3336,
        -0.4982, -0.2620,  0.5938, -0.3261,  0.4660,  0.0894,  0.0467,  0.1186,
         0.2431,  0.5819, -0.4893,  0.9036,  0.7861,  0.0332,  0.0504, -0.4704,
         0.1563,  0.0616, -0.0992,  0.0515])"
tw4t,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
twat,"tensor([-0.0791, -0.2326, -0.2647,  0.0767, -0.1307, -0.2959,  0.2201, -0.3049,
         0.4716, -0.0043, -0.3722,  0.0957, -0.0534, -0.0474, -0.3911,  0.3215,
        -0.3645,  0.3229,  0.2008,  0.0932,  0.2021,  0.3205, -0.6476, -0.7328,
        -0.4076,  0.2853, -0.0033,  0.2825,  0.1964,  0.5171, -0.1276, -0.3287,
         0.0535, -0.0726, -0.0136,  0.0548, -0.1902, -0.3855,  0.3241,  0.0333,
         0.4717,  0.1896,  0.0221,  0.1333,  0.0223, -0.3322,  0.2424,  0.6223,
         0.2878,  0.4850, -0.4226, -0.0127, -0.2285, -0.0822,  0.0453,  0.3203,
         0.1841,  0.0535, -0.5471, -0.6439, -0.0026, -0.6283, -0.6514, -0.5311,
        -0.1675,  0.0234, -0.3987, -0.5548, -0.2194, -0.1583, -0.5410,  0.2568,
         0.2601,  0.1570, -0.0692,  0.1963,  0.1234,  0.4072,  0.5671,  0.1083,
        -0.3998,  0.0160,  0.3183, -0.1680,  0.5218,  0.2975, -0.1882, -0.2692,
        -0.0029,  0.3453, -0.3092,  0.1164,  0.3552, -0.0726,  0.6272, -0.1368,
         0.2240,  0.2239, -0.4581,  0.0136])"
twathead,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
twats,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
twatty,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
twunt,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
twunter,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
ugly,"tensor([ 0.2658,  0.0320,  0.4485, -0.9018, -0.9465,  0.3444, -0.2981,  0.2910,
         0.5295, -0.0878,  0.0472, -0.0663,  0.2022,  0.2023,  0.7133,  1.0266,
        -0.5584,  0.1166,  0.4735,  0.3738,  0.6703,  0.2935, -0.0249,  0.0707,
         0.5749, -0.1292, -0.3142,  0.1485, -0.0528,  0.1697,  0.2714,  0.0732,
         0.5849, -0.4948, -0.4670, -0.4694, -0.5338, -0.4842,  0.6256,  0.0212,
         0.0884, -0.1825, -0.2679, -0.7238, -0.5149,  0.4046,  0.4018,  0.8714,
        -0.3388, -0.3549,  0.0547, -0.4503,  0.0161,  0.8202, -0.0531, -1.6258,
         0.5388,  0.9103,  0.2432, -0.4293, -0.4523,  0.7190, -0.7726, -0.6355,
         0.7871, -0.5880,  0.6524, -0.2961, -0.5929, -0.4827,  0.2075, -0.1759,
        -0.2964,  0.4162,  0.1761,  0.3415, -0.4938,  0.3136, -0.4533,  0.2833,
        -0.0392,  0.0769,  0.3965,  0.7384, -0.9121, -0.7781, -0.7624, -0.0321,
        -0.1329, -0.3656, -0.1013,  0.1253, -0.2891,  0.0577,  0.1808, -0.5194,
        -0.7669,  0.2132, -0.0981,  0.2846])"
undies,"tensor([ 1.0439e-01,  5.2774e-02, -2.4560e-01, -2.8630e-02, -3.3914e-01,
         7.2953e-02,  9.8395e-02,  3.4850e-01,  3.7704e-01,  8.0136e-01,
        -5.1909e-02,  3.5600e-01,  2.2391e-02,  6.0963e-01,  1.9558e-01,
         5.9362e-01, -4.7392e-02,  4.1528e-01,  5.9650e-01, -5.8999e-01,
        -2.1717e-01, -6.0121e-02,  2.4229e-01,  6.3409e-02, -3.0071e-02,
         4.2323e-01,  2.6778e-01, -3.3446e-01,  9.8284e-02, -3.5597e-01,
         6.1053e-01, -3.3187e-01,  6.4750e-01, -3.6356e-01, -2.5833e-02,
         1.5268e-01, -2.4387e-01,  8.3110e-02, -2.1429e-01,  3.1976e-02,
         4.6668e-01,  3.5290e-01, -2.0395e-03, -3.0829e-01, -4.2264e-01,
        -3.3387e-01,  2.6989e-01,  2.2914e-01,  1.9879e-01,  1.3930e-02,
        -3.3490e-01,  1.0288e-01, -3.8741e-01,  2.9666e-01,  8.5393e-02,
         6.7864e-01,  2.2677e-01,  2.6161e-01, -2.0272e-01, -4.9374e-01,
        -2.6255e-01,  5.9440e-01, -5.1651e-02,  1.0094e-01, -1.6275e-01,
        -3.4846e-02,  3.7993e-01, -2.0833e-01, -1.9631e-01, -1.5647e-01,
        -5.5307e-02, -3.8238e-04,  8.0044e-02, -2.4707e-01, -1.7178e-01,
         4.4170e-01, -7.5555e-02,  3.2838e-02,  3.8299e-01,  5.1880e-02,
        -5.1581e-01, -2.6651e-01,  1.6197e-01,  3.8812e-02, -9.7698e-02,
        -4.5739e-01,  5.0888e-02,  2.1317e-01, -5.9715e-01,  4.4563e-01,
        -3.0365e-02,  4.0049e-01,  2.8210e-01, -3.3453e-01,  5.1700e-01,
        -4.8432e-02, -2.1896e-01, -1.0445e-01, -2.4412e-02,  5.9029e-02])"
unwed,"tensor([ 0.6290,  0.4433,  0.6120, -0.3428, -0.0345,  0.5557, -0.7583, -0.3091,
         0.1655,  1.0282,  0.0527, -0.1230, -0.4118,  0.4049,  0.5477, -1.0075,
         0.5517,  0.0927, -0.0134,  0.1585, -0.4222, -0.0042, -0.0867,  1.1173,
        -0.3711,  0.4464, -1.1726, -0.9010, -0.8567,  0.1748,  0.3491,  0.0953,
         1.4268, -0.2559,  0.1081, -0.1002, -0.0146,  0.6597, -0.4167, -0.1701,
        -0.0868,  0.7080, -0.9247,  0.6200,  0.0892, -0.0872,  0.4408,  0.4729,
         0.0522,  0.3983, -0.2597, -1.0677, -0.0484,  0.5406, -0.1675,  0.5587,
        -0.5120, -1.1540, -0.0447,  0.0930,  0.6612, -0.1930,  0.4764, -0.4628,
         0.6329,  0.8297,  0.4356,  0.0264, -0.0102, -0.9501, -0.2169, -0.4244,
        -0.2802,  0.3936,  0.1297,  0.8267,  0.4296, -0.8378, -0.1497, -1.4312,
        -0.0323,  0.1004,  1.1722,  0.5056, -0.6464, -0.8270,  0.5167,  0.7040,
        -0.9306, -0.4760, -0.8594,  0.1631,  0.2852, -0.3731, -0.5411, -1.1202,
         0.1038,  0.1553, -0.6188, -0.3988])"
urinal,"tensor([ 0.8403,  0.6555, -0.3140,  0.1376,  0.0981,  0.1946,  0.5240, -0.4334,
         0.7963,  0.0148, -0.2716,  0.1246,  0.3923, -0.2731,  0.2809,  0.6450,
         0.1098,  0.4658, -0.1945, -1.2396, -0.4101, -0.2541, -0.2503, -0.2485,
         0.5333, -0.1591, -0.4780,  0.2733, -0.2384, -0.4966,  0.3233, -0.5189,
         0.0955, -0.3307,  0.1617,  0.8604, -1.1213,  0.0285,  0.0484, -0.7868,
         0.4446,  0.3927,  0.0417, -0.2450, -0.3466,  0.4991, -0.2608, -0.4796,
         0.1436,  0.4483, -0.4749, -0.1230, -0.2287,  0.2600, -1.0834, -0.1022,
         0.6296, -0.2940, -0.6297, -0.2590,  0.1820,  0.2158,  0.0982,  0.4167,
        -0.1813,  0.1333,  0.4359, -0.4229,  0.1034, -0.2783, -0.2122, -0.3299,
         0.8967,  0.1091, -0.6502, -0.0578,  0.8821,  0.0575,  0.4757,  0.0299,
         0.2524,  0.0786,  0.3027,  0.4325,  0.2325,  0.0241,  0.5541, -0.1141,
         0.7836, -0.9063,  0.3784,  0.1260,  0.0777, -0.3997,  0.8663, -0.6023,
        -0.1403, -0.2836, -0.2135,  0.0314])"
urine,"tensor([ 0.4407,  0.2517,  0.1597, -0.8229, -0.4740,  0.9538,  0.9407,  1.1212,
        -0.3609,  0.0284, -0.5791,  0.5304,  0.2354,  0.1188,  0.3457,  0.7117,
         0.0890,  0.1744,  0.7768, -0.4300, -0.6419, -0.1618,  0.1312,  0.1195,
        -0.4572,  0.2193,  0.0717,  0.1277,  0.7817,  0.3204,  0.2738, -0.4927,
        -0.7422,  0.2457,  0.8984,  0.4829,  0.0890,  0.5716, -0.8423,  0.2755,
         0.0884, -0.2608, -0.5189, -0.9122, -0.1941,  0.7803, -0.8389, -0.9707,
        -0.3169, -0.5684,  0.6475, -0.0295, -0.2329,  0.5979, -0.6122, -0.4239,
        -0.9961,  0.0947,  0.5926, -0.6760,  0.4869,  0.2279,  0.7167,  0.9442,
         0.5972,  1.0057,  0.6117, -1.2674,  0.5422, -0.4871,  0.1919,  0.5161,
         0.7793,  0.5756,  0.2607,  0.3850, -0.4005, -0.8515, -0.5574,  0.0141,
         0.4774,  0.3094, -0.6398, -0.1001, -1.1963, -0.2351,  1.1823,  0.3981,
        -0.8359,  0.9318, -0.2051, -0.1623, -0.1476,  0.8728,  0.5870, -0.0350,
        -0.3681, -0.2266, -0.3402,  0.0436])"
uterus,"tensor([ 0.6616,  0.3989, -0.1110, -0.2171, -0.1112,  0.3781, -0.3392,  0.4912,
         1.0439,  0.2650, -0.4160,  0.6801,  0.6020,  0.5743,  0.3231, -0.4168,
        -0.6336,  0.5216,  0.7299, -1.2266, -0.6816,  0.0658, -0.2992,  0.9294,
         0.5403,  0.6176, -0.3940, -1.5370,  0.2788,  0.2980,  0.7916,  0.4258,
         0.6214, -0.3903,  0.1616, -0.2795,  0.1952,  0.0096, -0.1468,  0.3816,
         0.2341, -0.1546, -0.4915, -0.2291,  0.3816, -0.1334, -0.2410,  0.4631,
        -0.2768,  0.2169,  0.4503,  0.1031,  0.6472,  0.4709, -0.7525, -0.3033,
        -0.3695, -1.0407, -0.9859,  0.4869, -0.4538,  0.4805,  1.0109,  0.9783,
         0.7269,  0.2410, -0.0283, -0.7745, -0.4421, -1.0795,  0.4398,  0.7923,
         0.3726,  0.3726,  0.7965, -0.4144, -0.2089, -0.6386,  0.2362, -0.7457,
        -0.2638,  0.4673, -0.1868,  1.5171, -1.0661, -0.5146,  1.3911,  0.7723,
         0.2010, -0.0861,  0.7842,  0.4338,  0.7686, -0.0342,  0.5522, -0.0938,
         0.6656, -0.1630,  0.2927,  0.1919])"
uzi,"tensor([-1.4509, -0.9136,  0.1099, -0.5182,  0.6015,  0.2233,  0.7432, -0.0934,
         1.1685,  0.6274, -0.0513, -0.4764, -0.9727,  0.1811,  0.5782,  0.1916,
         0.2855, -0.3868, -1.1084, -0.5101,  0.5940,  0.6227, -0.5376, -0.1017,
        -0.0299, -0.3912,  0.1894, -0.4798, -0.6008, -0.0659,  0.1642,  0.2583,
        -0.1252,  0.3095,  0.3333, -0.4594,  0.9722,  0.0116,  0.2203, -0.1675,
         0.3841, -0.0833,  0.3708,  0.3377, -0.4495,  0.1312, -0.1021, -0.2412,
        -1.2126, -0.4127,  0.5493, -0.0309,  0.4410,  0.4830,  0.8940,  0.6025,
         0.6990,  0.3093, -0.2729,  0.5649,  1.0824,  0.4265, -0.0122,  1.1861,
        -0.2362,  0.3732,  0.6653,  0.3591,  0.1400,  0.2148, -0.0130, -1.0761,
         0.5539, -0.5630, -1.4486,  0.4349, -1.0052,  0.3483, -0.0539, -0.5250,
         1.2737,  0.3075,  0.6580,  0.1144,  0.5077,  0.1595, -0.2558, -0.4448,
         0.7593, -0.5942,  1.0899,  0.6397,  0.0568,  0.5440,  0.4191, -0.6066,
         0.7015, -0.0698,  0.2643,  0.3033])"
v14gra,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
v1gra,"tensor([0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.,
        0., 0., 0., 0.])"
vag,"tensor([ 0.0536, -0.1173, -0.4659,  0.0911,  0.0624,  0.2778,  0.0219,  0.1230,
         0.4737, -0.4613,  0.4477, -0.2291, -0.0809,  0.5240, -0.1887,  0.4466,
        -0.3110, -0.1620,  0.5078, -0.3351,  0.1453,  0.2936, -0.4522, -0.0263,
        -0.2496,  0.4581,  0.0153,  0.6845,  0.0170, -0.0766, -0.0811,  0.0822,
         0.1395, -0.4987,  0.0397,  0.0157,  0.0559,  0.1423,  0.0598,  0.2868,
         0.3022,  0.0257,  0.1491,  0.4202, -0.0712, -0.0147,  0.1415,  0.6990,
        -0.2066,  0.5050, -0.2173,  0.0243, -0.6165,  0.0759, -0.4606,  0.7276,
         0.5127,  0.2230, -0.3529, -0.3550,  0.0622, -0.3855, -0.0260, -0.2873,
        -0.1615,  0.1177, -0.5055,  0.2597, -0.0310,  0.1209, -0.0910, -0.1365,
         0.0751,  0.0203,  0.0354, -0.1413, -0.0829, -0.2516,  0.2632,  0.2287,
        -0.2803, -0.2291, -0.1529, -0.2228,  0.2992,  0.0930,  0.1651,  0.2892,
         0.1574,  0.0760, -0.2595, -0.0400, -0.1836, -0.2632,  0.6876, -0.0865,
        -0.1358,  0.0237, -0.2824, -0.5545])"
vagina,"tensor([ 0.4686, -0.1235,  0.2208,  0.0277, -0.1472,  1.0400, -0.1181,  0.6759,
         0.6655,  0.2528, -0.8369,  0.3645, -0.1729,  0.8998,  0.1252, -0.1888,
        -1.1327,  1.1036,  0.4362, -1.0249,  0.0145, -0.4407, -0.4064,  0.6334,
         0.8372,  0.6134, -0.3307, -0.7301, -0.0058,  0.3519,  0.0428, -0.0334,
         0.7150, -0.1108,  0.6155,  0.0714,  0.1963,  0.0025, -0.2433,  0.3088,
         0.6719,  0.1635, -0.6050,  0.3609, -0.0822,  0.1539, -0.7156, -0.6288,
        -0.3121,  0.5334, -0.5147,  0.7113,  0.5311,  0.0817, -1.1699, -0.1725,
         0.0826, -0.6665, -0.6341,  0.2682, -0.4004,  0.7364,  0.0839,  0.3011,
         0.8254,  0.1438,  0.8178, -1.0778,  0.5887, -0.8557,  0.3534,  0.4311,
         0.4895,  0.3178,  0.4233, -0.6660,  0.0793,  0.3619,  0.5062, -0.2910,
        -0.6175,  0.5694, -0.2098,  0.2222, -1.4949, -0.3466,  0.4743,  0.8693,
         0.5296,  0.1258,  0.5902,  0.3265,  0.5999,  0.4167,  1.0370, -0.0981,
         0.1434, -0.2257, -0.3581,  0.4341])"
